,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:03,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
07:04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07:05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07:06,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:07,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
07:08,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
07:09,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
07:10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
07:13,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
07:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
07:16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
07:18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
07:19,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
07:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:21,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
07:22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
07:24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
07:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07:27,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:29,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
07:30,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:31,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
07:32,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:33,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
07:34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
07:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:37,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
07:38,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
07:39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
07:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07:42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
07:43,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
07:44,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
07:45,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
07:46,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
07:47,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
07:48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
